Date,Date,Open,High,Low,Close,SMA,WMA,MOMENTUM,K,D,RSI,MACD,R,ADX,CCI,MACDsignal,MACDhist
2000/1/31,2000/1/31,1.6228,1.6259,1.6117,1.6154,1.63886,1.6344727272727277,-0.017400000000000082,15.736726517637834,25.79983606013988,30.846721497883607,-0.005571714138378647,-91.97396963123637,19.964001805549703,-168.4574059861838,0.0002707518911975404,-0.005842466029576188
2000/2/1,2000/2/1,1.6156,1.6175,1.6094,1.6139,1.6366,1.629934545454546,-0.022600000000000176,7.99673923219585,15.683753022542389,30.016332544506163,-0.006822428790389079,-90.70247933884308,22.227472733305472,-140.44392064427393,-0.0010189173236363905,-0.0058035114667526885
2000/2/2,2000/2/2,1.6149,1.615,1.602,1.6081,1.6330500000000001,1.6247527272727278,-0.035499999999999865,9.418483557165883,11.05064976899986,26.904657456807257,-0.00804330341345505,-89.06810035842292,25.065338791903088,-118.59594192221641,-0.002296078430876147,-0.005747224982578902
2000/2/3,2000/2/3,1.6083,1.6091,1.5934,1.5975,1.6273900000000001,1.6182890909090915,-0.056599999999999984,8.943891577025129,8.78637145546229,22.225892873982207,-0.009825445068562866,-93.63354037267082,28.37335873683233,-119.34798986370777,-0.003665054183182823,-0.006160390885380043
2000/2/4,2000/2/4,1.5973,1.602,1.5828,1.5919,1.6216900000000003,1.6118363636363642,-0.05699999999999994,10.129087138183797,9.497154090791605,20.167211084445018,-0.011209137494460286,-87.48280605226945,32.07422927210969,-122.93407613741815,-0.0050367056943241804,-0.006172431800136106
2000/2/7,2000/2/7,1.5905,1.599,1.588,1.5978,1.6163700000000003,1.607492727272728,-0.053199999999999914,14.309846725576781,11.127608480261905,27.976730575763103,-0.010774703796070595,-78.81355932203371,35.40501275385931,-95.89428308953364,-0.006079978076459892,-0.004694725719610703
2000/2/8,2000/2/8,1.5975,1.6136,1.5966,1.6113,1.6131,1.60657090909091,-0.03269999999999995,28.630834379897724,17.689922747886104,42.32156996053216,-0.008258300844469213,-55.39906103286395,34.64517645037803,-32.80531425651338,-0.006476036761552496,-0.0017822640829167173
2000/2/9,2000/2/9,1.611,1.6172,1.6056,1.6163,1.6109300000000002,1.607152727272728,-0.02169999999999983,44.21597890677575,29.052220004083424,46.6909286810384,-0.0057150550673708,-41.73913043478257,33.212378296796864,13.779781068899174,-0.00633767645351946,0.0006226213861486602
2000/2/10,2000/2/10,1.6164,1.6169,1.6043,1.6088,1.6079599999999998,1.6067654545454553,-0.02970000000000006,56.499528100883424,43.11544712918564,41.456752903926876,-0.004915728276053244,-53.73665480427044,32.10590865667957,16.14964563727518,-0.006079140421252876,0.0011634121451996318
2000/2/11,2000/2/11,1.6095,1.6103,1.5872,1.5921,1.6053099999999998,1.603881818181819,-0.026499999999999968,48.9115065496995,49.87567118578624,32.455275599296016,-0.006418740510925058,-78.42227378190232,33.066945211085795,-77.95651405338576,-0.006140885892102364,-0.0002778546188226946
